id,type,question,evaluation_mode,f1,precision,recall,text_to_pandas_pred,query_logic,text_to_pandas_plan,primary_error_type,diagnostic_flags,diagnostic_notes,plan_filter_count,plan_columns,plan_values,plan_aggregation
MH12,MultiHop,NIA가 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,exact_set,0.6666666666666666,1.0,0.5,과학기술 정보통신부 | 과학기술정보 통신부,사업시행주체_목록 contains {'한국지능정보사회진흥원'} -> unique 소관 list up to 3,"{""filter_conditions"": [{""column"": ""사업시행주체_목록"", ""operator"": ""contains"", ""value"": ""NIA""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""소관""]}",entity_alias_resolution_error,aggregation_operation_error|entity_alias_resolution_error|partial_candidate_coverage_or_output_format_error,aggregation expected; plan aggregation=None ; abbreviation kept in plan filter value ; partial match below threshold,1,사업시행주체_목록|소관,NIA,
MH13,MultiHop,한국연구재단이 시행하는 사업들의 소관 기관을 최대 3개까지 알려주세요.,any_3_from_candidate_set,0.5,1.0,0.3333333333333333,과학기술 정보통신부 | 과학기술정보 통신부,사업시행주체_목록 contains {'한국연구재단'} -> unique 소관 list up to 3,"{""filter_conditions"": [{""column"": ""사업시행주체_목록"", ""operator"": ""contains"", ""value"": ""한국연구재단""}], ""group_by"": [""소관""], ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""소관""]}",aggregation_operation_error,aggregation_operation_error|partial_candidate_coverage_or_output_format_error,aggregation expected; plan aggregation=None ; partial match below threshold,1,사업시행주체_목록|소관|소관,한국연구재단,
MH14,MultiHop,한국보건산업진흥원이 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,any_3_from_candidate_set,0.0,0.0,0.0,23 보건복지부,사업시행주체_목록 contains {'한국보건산업진흥원'} -> unique 소관 list up to 3,"{""filter_conditions"": [{""column"": ""사업시행주체_목록"", ""operator"": ""contains"", ""value"": ""한국보건산업진흥원""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""소관""]}",aggregation_operation_error,aggregation_operation_error|output_format_error,aggregation expected; plan aggregation=None ; extra numeric/column values in set answer,1,사업시행주체_목록|소관,한국보건산업진흥원,
MH15,MultiHop,KISA가 시행하는 사업들의 소관 기관을 최대 3개까지 알려주세요.,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'한국인터넷진흥원'} -> unique 소관 list up to 3,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""KISA""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""소관""]}",no_result_or_empty_answer,aggregation_operation_error|column_or_schema_grounding_error|entity_alias_resolution_error|no_result_or_empty_answer,empty or no-answer output ; aggregation expected; plan aggregation=None ; used 실국/문서소관 instead of 사업시행주체_목록 ; abbreviation kept in plan filter value,1,실국(기관)|소관,KISA,
MH21,MultiHop,NIA가 시행하는 사업들이 포함된 단위사업명 세 개만 알려줘.,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'한국지능정보사회진흥원'} -> unique 단위사업명 list up to 3,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""NIA""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""단위사업명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|entity_alias_resolution_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록 ; abbreviation kept in plan filter value,1,실국(기관)|단위사업명,NIA,
MH22,MultiHop,IITP가 진행하는 사업들은 어떤 분야에 속해 있어?,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'정보통신기획평가원'} -> unique 분야명 list up to 3,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""IITP""}], ""group_by"": [""분야명""], ""aggregation"": null, ""sort_by"": null, ""limit"": null, ""return_columns"": [""분야명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|entity_alias_resolution_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록 ; abbreviation kept in plan filter value,1,실국(기관)|분야명|분야명,IITP,
MH23,MultiHop,NIPA가 진행하는 사업들은 어떤 분야에 속해?,exact_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'정보통신산업진흥원'} -> unique 분야명 list up to 3,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""NIPA""}], ""group_by"": [""분야명""], ""aggregation"": null, ""sort_by"": null, ""limit"": null, ""return_columns"": [""분야명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|entity_alias_resolution_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록 ; abbreviation kept in plan filter value,1,실국(기관)|분야명|분야명,NIPA,
MH24,MultiHop,한국산업기술기획평가원이 하는 사업들은 어떤 분야에 속해?,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'한국산업기술기획평가원'} -> unique 분야명 list up to 3,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""한국산업기술기획평가원""}], ""group_by"": [""분야명""], ""aggregation"": null, ""sort_by"": null, ""limit"": null, ""return_columns"": [""분야명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록,1,문서_소관기관|분야명|분야명,한국산업기술기획평가원,
MH25,MultiHop,NIA가 진행하는 사업들은 어떤 분야에 속해?,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'한국지능정보사회진흥원'} -> unique 분야명 list up to 3,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""=="", ""value"": ""NIA""}], ""group_by"": [""분야명""], ""aggregation"": null, ""sort_by"": null, ""limit"": null, ""return_columns"": [""분야명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|entity_alias_resolution_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록 ; abbreviation kept in plan filter value,1,실국(기관)|분야명|분야명,NIA,
MH26,MultiHop,NRF가 시행하는 사업 이름 세 개만 알려줘.,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'한국연구재단'} -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""NRF""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|entity_alias_resolution_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록 ; abbreviation kept in plan filter value,1,실국(기관)|사업명,NRF,
MH28,MultiHop,KISA가 시행하는 사업 이름 3개만 알려줄래?,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'한국인터넷진흥원'} -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""KISA""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|entity_alias_resolution_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록 ; abbreviation kept in plan filter value,1,실국(기관)|사업명,KISA,
MH30,MultiHop,한국산업기술진흥원이 시행하는 사업 이름 3개만 알려줘.,any_3_from_candidate_set,0.6666666666666666,0.6666666666666666,0.6666666666666666,No-Code 제조기술 혁신 생태계 구축 | 미래이차전지원료소재실증 플랫폼기반구축 | 바이오산업개방형 생태계조성촉진,사업시행주체_목록 contains {'한국산업기술진흥원'} -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""사업시행주체_목록"", ""operator"": ""contains"", ""value"": ""한국산업기술진흥원""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",partial_candidate_coverage_or_output_format_error,partial_candidate_coverage_or_output_format_error,partial match below threshold,1,사업시행주체_목록|사업명,한국산업기술진흥원,
MH32,MultiHop,한국환경산업기술원이 주관하는 사업 중에서 3개만 알려줄래?,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'한국환경산업기술원'} -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""한국환경산업기술원""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록,1,문서_소관기관|사업명,한국환경산업기술원,
MH33,MultiHop,정보통신기획평가원이 주관하는 사업들이 포함된 부문명을 알려줘.,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'정보통신기획평가원'} -> unique 부문명 list,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""정보통신기획평가원""}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": null, ""return_columns"": [""부문명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록,1,문서_소관기관|부문명,정보통신기획평가원,
MH34,MultiHop,NIPA가 시행하는 사업들이 포함된 부문명을 알려줘.,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,사업시행주체_목록 contains {'정보통신산업진흥원'} -> unique 부문명 list,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""contains"", ""value"": ""NIPA""}], ""group_by"": [""부문명""], ""aggregation"": null, ""sort_by"": null, ""limit"": null, ""return_columns"": [""부문명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|entity_alias_resolution_error|no_result_or_empty_answer,empty or no-answer output ; used 실국/문서소관 instead of 사업시행주체_목록 ; abbreviation kept in plan filter value,1,실국(기관)|부문명|부문명,NIPA,
RV08,Reverse,해수부에서 출연 형태로 지원하는 사업 세 개만 알려줘.,any_3_from_candidate_set,0.3333333333333333,0.3333333333333333,0.3333333333333333,AI기반 스마트 어업관리 시스템 개발(R&D) | AI 완전자율운항선박 기술개발(R&D) | AI응용제품 신속상용화 지원사업,소관={'해양수산부'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""해수부""}, {""column"": ""지원형태_출연"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",partial_candidate_coverage_or_output_format_error,partial_candidate_coverage_or_output_format_error,partial match below threshold,2,문서_소관기관|지원형태_출연|사업명,해수부|True,
RV09,Reverse,과기정통부에서 국고보조 형태로 지원하는 사업 3개만 알려줘.,any_3_from_candidate_set,0.6666666666666666,0.6666666666666666,0.6666666666666666,A I 융합 OTT 글로벌 진출 확산 지원 | AI통합바우처 | 데이터 활용확산 정책지원,소관={'과학기술 정보통신부'} AND 지원형태_보조=TRUE -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""과기정통부""}, {""column"": ""지원형태_보조"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",entity_alias_resolution_error,entity_alias_resolution_error|partial_candidate_coverage_or_output_format_error,abbreviation kept in plan filter value ; partial match below threshold,2,문서_소관기관|지원형태_보조|사업명,과기정통부|True,
RV10,Reverse,중기부에서 출연 형태로 지원하는 사업 세 개만 알려줘.,any_3_from_candidate_set,0.6666666666666666,0.6666666666666666,0.6666666666666666,ICT융합스마트공장보급·확산 | 데이터 인프라구축(정보화) | 스마트 제조혁신 기술개발사업(R&D),소관={'중소벤처기업부'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""중기부""}, {""column"": ""지원형태_출연"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",entity_alias_resolution_error,entity_alias_resolution_error|partial_candidate_coverage_or_output_format_error,abbreviation kept in plan filter value ; partial match below threshold,2,문서_소관기관|지원형태_출연|사업명,중기부|True,
RV14,Reverse,농촌진흥청에서 직접 지원하는 사업 세 개만 알려줘.,any_3_from_candidate_set,0.6666666666666666,0.6666666666666666,0.6666666666666666,AI기반작물모니터링및진단 플랫폼개발(R&D) | 국경 이동성 해충의 국제 발생 예측 및 방제기술 개발(R&D) | 농업기술정보화(정보화),소관={'농촌진흥청'} AND 지원형태_직접=TRUE -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""농촌진흥청""}, {""column"": ""지원형태_직접"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",partial_candidate_coverage_or_output_format_error,partial_candidate_coverage_or_output_format_error,partial match below threshold,2,문서_소관기관|지원형태_직접|사업명,농촌진흥청|True,
RV15,Reverse,교육부에서 출연 형태로 지원하는 사업 3개만 알려줘.,any_3_from_candidate_set,0.6666666666666666,0.6666666666666666,0.6666666666666666,4단계 두뇌한국21 사업 | 국립대학육성사업 | 대학생 AI 기본 교육 지원,소관={'교육부'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""교육부""}, {""column"": ""지원형태_출연"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",partial_candidate_coverage_or_output_format_error,partial_candidate_coverage_or_output_format_error,partial match below threshold,2,문서_소관기관|지원형태_출연|사업명,교육부|True,
RV25,Reverse,교통 및 물류 분야에서 내년에 새로 하는 사업 3개만 알려줘.,any_3_from_candidate_set,0.6666666666666666,0.6666666666666666,0.6666666666666666,AI 모빌리티 시범도시 조성 | AI응용제품 신속상용화 지원사업(국토·교통) | 건설전주기안전혁신기술개발 사업(R&D),분야명={'교통및물류'} AND 사업성격_신규=TRUE -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""분야명"", ""operator"": ""=="", ""value"": ""교통 및 물류""}, {""column"": ""사업성격_신규"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": {""column"": ""사업번호"", ""ascending"": true}, ""limit"": 3, ""return_columns"": [""사업명""]}",partial_candidate_coverage_or_output_format_error,partial_candidate_coverage_or_output_format_error,partial match below threshold,2,분야명|사업성격_신규|사업명|사업번호,교통 및 물류|True,
RV27,Reverse,보건 분야에서 직접 지원하는 사업 세 개만 알려줘.,any_3_from_candidate_set,0.6666666666666666,0.6666666666666666,0.6666666666666666,바이오헬스산업 육성 지원 | 발달장애디지털치료제개발(R&D) | 의료데이터 중심병원 지원사업,분야명={'보건'} AND 지원형태_직접=TRUE -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""분야명"", ""operator"": ""=="", ""value"": ""보건""}, {""column"": ""지원형태_직접"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": null, ""limit"": 3, ""return_columns"": [""사업명""]}",partial_candidate_coverage_or_output_format_error,partial_candidate_coverage_or_output_format_error,partial match below threshold,2,분야명|지원형태_직접|사업명,보건|True,
CF08,ComplexFilter,산업부 관할로 지원 방식이 출연인 2026년 예산이 5만 백만원 이상인 사업 3개를 알려줘.,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,소관={'산업통상부'} AND 지원형태_출연=TRUE AND 예산총괄표_2026열2(백만원)>=50000 -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""=="", ""value"": ""산업부""}, {""column"": ""지원형태_출연"", ""operator"": ""=="", ""value"": true}, {""column"": ""예산총괄표_2026열1(백만원)"", ""operator"": "">="", ""value"": 50000}], ""group_by"": null, ""aggregation"": null, ""sort_by"": {""column"": ""예산총괄표_2026열1(백만원)"", ""ascending"": false}, ""limit"": 3, ""return_columns"": [""사업명""]}",no_result_or_empty_answer,column_or_schema_grounding_error|entity_alias_resolution_error|no_result_or_empty_answer,empty or no-answer output ; budget column mismatch from query_logic ; abbreviation kept in plan filter value,3,실국(기관)|지원형태_출연|예산총괄표_2026열1(백만원)|사업명|예산총괄표_2026열1(백만원),산업부|True|50000,
CF11,ComplexFilter,과기정통부 소관 사업 중에서 지원형태가 출연이고 2026년 예산이 2000억 이상인 사업 3개만 알려줘.,any_3_from_candidate_set,0.5,1.0,0.3333333333333333,AI컴퓨팅자원활용기반강화,소관={'과학기술 정보통신부'} AND 지원형태_출연=TRUE AND 예산총괄표_2026열2(백만원)>=200000 -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""소관"", ""operator"": ""=="", ""value"": ""과기정통부""}, {""column"": ""지원형태_출연"", ""operator"": ""=="", ""value"": true}, {""column"": ""예산총괄표_2026열1(백만원)"", ""operator"": "">="", ""value"": 2000000}], ""group_by"": null, ""aggregation"": null, ""sort_by"": {""column"": ""예산총괄표_2026열1(백만원)"", ""ascending"": false}, ""limit"": 3, ""return_columns"": [""사업명""]}",column_or_schema_grounding_error,column_or_schema_grounding_error|entity_alias_resolution_error|partial_candidate_coverage_or_output_format_error,budget column mismatch from query_logic ; abbreviation kept in plan filter value ; partial match below threshold,3,소관|지원형태_출연|예산총괄표_2026열1(백만원)|사업명|예산총괄표_2026열1(백만원),과기정통부|True|2000000,
CF13,ComplexFilter,일반회계로 진행되는 보조사업 중 내년에 새로 시작하는 사업 3개만 알려줘.,any_3_from_candidate_set,0.0,0.0,0.0,알 수 없음,지원형태_보조=TRUE AND 회계_기금={'일반회계'} AND 사업성격_신규=TRUE -> unique 사업명 list up to 3,"{""filter_conditions"": [{""column"": ""회계기금_구분라벨"", ""operator"": ""=="", ""value"": ""일반회계""}, {""column"": ""지원형태_보조"", ""operator"": ""=="", ""value"": true}, {""column"": ""사업성격_신규"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": {""column"": ""사업명"", ""ascending"": true}, ""limit"": 3, ""return_columns"": [""사업명""]}",no_result_or_empty_answer,no_result_or_empty_answer,empty or no-answer output,3,회계기금_구분라벨|지원형태_보조|사업성격_신규|사업명|사업명,일반회계|True|True,
