structured_set_id,set,id,type,question,gold,representative_gold,acceptable_answers,answer_limit,candidate_count,evaluation_mode,source_columns,query_logic,revision_note,question_pattern,pattern_motif,question_original,question_noise_level,question_perturbed,noise_type
STR011,Structured_HITL_20,RV03,Reverse,고용부 소관의 출연 형태로 지원되는 사업 중에서 3개를 알려주세요.,디지털 기반의 고용서비스 인프라 지원(정보화) | 미래환경변화대응 산업안전보건 연구개발(R&D) | 사업주직업훈련지원금,디지털 기반의 고용서비스 인프라 지원(정보화) | 미래환경변화대응 산업안전보건 연구개발(R&D) | 사업주직업훈련지원금,디지털 기반의 고용서비스 인프라 지원(정보화) | 미래환경변화대응 산업안전보건 연구개발(R&D) | 사업주직업훈련지원금 | 일자리정보플랫폼 기반 AI 고용서비스 지원(정보화) | 직업능력개발담당자양성 및 훈련매체개발 | 취약노동자지원,3,6,any_3_from_candidate_set,"소관, 지원형태_출연, 사업명 (df_base)",소관={'고용노동부'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,지원형태_출연=TRUE AND 소관=고용노동부. / 평가 시 gold 3개만 보지 말고 acceptable_answers 전체 후보 중 임의 3개를 정답 인정. 최종본: 기존 HITL 검증 문항 유지.,support_type_filter,재정지원 방식별 적정성·보조사업 관리 대상 확인,출연 지원형태이면서 고용노동부 소관인 사업 3개까지 나열하시오.,L1_strict,고용부 소관의 출연 형태로 지원되는 사업 중에서 3개를 알려주세요.,abbreviation|colloquial
STR012,Structured_HITL_20,RV04,Reverse,2026년에 새로 시작하는 사업 중에서 지원 형태가 출자인 사업을 최대 3개까지 알려줘.,AGI 준비 프로젝트 | 산업은행 출자(국민성장펀드) | 국가농업AX플랫폼,AGI 준비 프로젝트 | 산업은행 출자(국민성장펀드) | 국가농업AX플랫폼,AGI 준비 프로젝트 | 산업은행 출자(국민성장펀드) | 국가농업AX플랫폼,3,3,exact_set,"사업성격_신규, 지원형태_출자, 사업명 (df_base)",사업성격_신규=TRUE AND 지원형태_출자=TRUE -> unique 사업명 list up to 3,사업성격_신규=TRUE AND 지원형태_출자=TRUE. 최종본: 기존 HITL 검증 문항 유지.,support_type_filter,재정지원 방식별 적정성·보조사업 관리 대상 확인,2026년 신규 사업 중 지원형태가 출자인 사업 3개까지 나열하시오.,L1_strict,2026년에 새로 시작하는 사업 중에서 지원 형태가 출자인 사업을 최대 3개까지 알려줘.,surface_rewrite
STR013,Structured_HITL_20,RV05,Reverse,금융위에서 새로 시작하는 사업 중 3개만 알려줄 수 있나요?,산업은행 출자(국민성장펀드),산업은행 출자(국민성장펀드),산업은행 출자(국민성장펀드),1,1,exact_set,"소관, 사업성격_신규, 사업명 (df_base)",소관={'금융위원회'} AND 사업성격_신규=TRUE -> unique 사업명 list up to 3,소관=금융위원회 AND 신규=TRUE. 최종본: 기존 HITL 검증 문항 유지.,new_continuing_project,신규 사업 편성 타당성·계속사업 구조조정 검토,금융위원회 소관 신규 사업 3개까지 나열하시오.,L1_strict,금융위에서 새로 시작하는 사업 중 3개만 알려줄 수 있나요?,abbreviation
STR014,Structured_HITL_20,RV06,Reverse,3년 동안 진행되는 새로 시작하는 사업 중 3개를 알려주세요.,개인정보 안전활용 선도기술 개발(R&D) | AI-네이티브 첨단바이오 자율실험실(R&D) | ICT 전략융합 R&D 바우처 지원(R&D),개인정보 안전활용 선도기술 개발(R&D) | AI-네이티브 첨단바이오 자율실험실(R&D) | ICT 전략융합 R&D 바우처 지원(R&D),개인정보 안전활용 선도기술 개발(R&D) | AI-네이티브 첨단바이오 자율실험실(R&D) | ICT 전략융합 R&D 바우처 지원(R&D),3,3,exact_set,"사업성격_신규, 사업기간, 사업명 (df_base)",사업성격_신규=TRUE AND 사업기간 normalized duration years=3 -> unique 사업명 list up to 3,"질문이 “3개 나열”이므로 신규=TRUE이고 사업기간이 3년으로 해석되는 후보 중 3개를 gold로 둠. 2026~2028, ’26~’28 같은 표기도 3년으로 정규화. 최종본: 기존 HITL 검증 문항 유지.",new_continuing_project,신규 사업 편성 타당성·계속사업 구조조정 검토,사업기간이 3년이면서 신규 사업인 것을 3개 나열하시오.,L1_strict,3년 동안 진행되는 새로 시작하는 사업 중 3개를 알려주세요.,colloquial
STR015,Structured_HITL_20,CF01,ComplexFilter,과기정통부 소관 사업 중에서 출연 형태로 지원받고 2026년 예산이 1000억 원 이상인 사업을 최대 3개까지 알려줘.,AI반도체실증지원 | AI·SW중심대학 | AI컴퓨팅자원활용기반강화,AI반도체실증지원 | AI·SW중심대학 | AI컴퓨팅자원활용기반강화,AI반도체실증지원 | AI·SW중심대학 | AI컴퓨팅자원활용기반강화 | 광주과학기술원 연구운영비 지원(R&D) | 국가과학기술연구회 연구운영비 지원(R&D) | 대구경북과학기술원 연구운영비 지원(R&D) | 바이오·의료기술개발 | 울산과학기술원 연구운영비 지원(R&D) | 정보보호핵심원천기술개발 | 정보통신방송혁신인재양성 | 차세대 네트워크(6G) 산업 기술개발 | 한국과학기술연구원 연구운영비 지원(R&D) | 한국과학기술원 연구운영비 지원(R&D) | 한국과학기술정보연구원 연구 운영비 지원(R&D) | 한국생명공학연구원 연구운영비 지원(R&D) | 한국생산기술연구원 연구운영비지원(R&D) | 한국원자력연구원 연구 운영비 지원(R&D) | 한국전자통신연구원 연구운영비 지원(R&D) | 한국지질자원연구원 연구운영비지원(R&D) | 한국표준과학연구원 연구운영비 지원(R&D),3,20,any_3_from_candidate_set,"소관, 지원형태_출연, 예산총괄표_2026열2(백만원), 사업명 (df_base)",소관={'과학기술 정보통신부'} AND 지원형태_출연=TRUE AND 예산총괄표_2026열2(백만원)>=100000 -> unique 사업명 list up to 3,"지원형태_출연=TRUE, 소관=과기정통부, 2026예산>=100000백만원. / 평가 시 gold 3개만 보지 말고 acceptable_answers 전체 후보 중 임의 3개를 정답 인정. 최종본: 기존 HITL 검증 문항 유지.",support_type_filter,재정지원 방식별 적정성·보조사업 관리 대상 확인,출연 지원형태이면서 과학기술정보통신부 소관이고 2026년 예산이 1000억원(100000백만원) 이상인 사업은 3개까지 나열하시오.,L1_strict,과기정통부 소관 사업 중에서 출연 형태로 지원받고 2026년 예산이 1000억 원 이상인 사업을 최대 3개까지 알려줘.,abbreviation
STR016,Structured_HITL_20,CF02,ComplexFilter,과기정통부 소관의 새로 시작하는 사업 중에서 지원형태가 출자인 사업은 무엇이 있나요?,AGI 준비 프로젝트,AGI 준비 프로젝트,AGI 준비 프로젝트,1,1,exact_set,"소관, 지원형태_출자, 사업성격_신규, 사업명 (df_base)",소관={'과학기술 정보통신부'} AND 지원형태_출자=TRUE AND 사업성격_신규=TRUE -> unique 사업명 list up to 3,"신규=TRUE, 출자=TRUE, 소관=과기정통부. 최종본: 기존 HITL 검증 문항 유지.",support_type_filter,재정지원 방식별 적정성·보조사업 관리 대상 확인,신규 사업이면서 지원형태가 출자인 사업 중 과학기술정보통신부 소관인 것은?,L1_strict,과기정통부 소관의 새로 시작하는 사업 중에서 지원형태가 출자인 사업은 무엇이 있나요?,abbreviation
STR017,Structured_HITL_20,CF03,ComplexFilter,중기부에서 계속 사업으로 진행되는 출연 형태의 사업을 최대 3개까지 알려줘.,ICT융합스마트공장보급·확산 | 데이터 인프라구축(정보화) | 중소기업 스마트서비스 지원,ICT융합스마트공장보급·확산 | 데이터 인프라구축(정보화) | 중소기업 스마트서비스 지원,ICT융합스마트공장보급·확산 | 데이터 인프라구축(정보화) | 중소기업 스마트서비스 지원 | 중소벤처행정정보화(정보화) | 지역특화 제조데이터 활성화 | 창업사업화지원 | 창업성장기술개발(R&D) | 투·융자연계기술개발(R&D),3,8,any_3_from_candidate_set,"소관, 지원형태_출연, 사업성격_계속, 사업명 (df_base)",소관={'중소벤처기업부'} AND 지원형태_출연=TRUE AND 사업성격_계속=TRUE -> unique 사업명 list up to 3,"소관=중소벤처기업부, 계속=TRUE, 출연=TRUE. / 평가 시 gold 3개만 보지 말고 acceptable_answers 전체 후보 중 임의 3개를 정답 인정. 최종본: 기존 HITL 검증 문항 유지.",support_type_filter,재정지원 방식별 적정성·보조사업 관리 대상 확인,중소벤처기업부 소관이면서 계속 사업이고 지원형태가 출연인 사업 3개까지 나열하시오.,L1_strict,중기부에서 계속 사업으로 진행되는 출연 형태의 사업을 최대 3개까지 알려줘.,abbreviation
STR018,Structured_HITL_20,CF04,ComplexFilter,2026년에 예산이 전년보다 줄어들었고 계속 사업으로 과기정통부 소관인 사업을 최대 3개까지 알려주세요.,AI반도체 지원플랫폼 | A I 융합 OTT 글로벌 진출 확산 지원 | AI기반 어장 공간정보 빅데이터 플랫폼 구축 및 활용,AI반도체 지원플랫폼 | A I 융합 OTT 글로벌 진출 확산 지원 | AI기반 어장 공간정보 빅데이터 플랫폼 구축 및 활용,AI반도체 지원플랫폼 | A I 융합 OTT 글로벌 진출 확산 지원 | AI기반 어장 공간정보 빅데이터 플랫폼 구축 및 활용 | AI반도체기반데이터센터 고도화선도기술개발(R&D) | AI반도체첨단이종집적 기술개발(R&D) | AI산업육성 | AI융합 지능형 농업 생태계 구축 | AI일상화 확산 | AI정밀의료SW선도기반조성 | K-Health 국민의료 AI서비스 및 산업생태계 구축 | PIM인공지능반도체 핵심기술개발(설계) | SW컴퓨팅산업원천기술개발 | 거대인공신경망인공지능 반도체SW기술개발(R&D) | 공공행정서비스혁신기술개발(R&D) | 대구경북과학기술원 시설 지원(R&D) | 대학디지털교육역량강화 | 데이터 활용 의료·건강 생태계조성 | 데이터 활용확산 정책지원 | 데이터경제인프라구축 | 데이터기반산업경쟁력강화 | 디지털 혁신 기술 기반 K-CareNetwork | 디지털역량강화교육 | 스마트 엣지 디바이스 기술개발(R&D) | 스마트빌리지 보급 및 확산 | 오픈랜실증단지조성 | 자율주행기술개발혁신사업(R&D) | 저궤도 군집 위성통신용 지능형 지상국 핵심기술 개발 | 정보통신 기반보호 강화(정보화) | 제조업 AI융합 기반 조성 | 지능형 홈 산업 육성 | 지속가능한 데이터센터 산업 발전 지원 | 차세대지능형 반도체기술개발(설계)(R&D) | 초거대AI 클라우드팜 실증 및 AI 확산 환경 조성 | 클라우드컴퓨팅산업육성(정보화) | 한국산업은행 출자 (AI컴퓨팅 인프라 확충) | 해킹바이러스 대응체계 고도화,3,36,any_3_from_candidate_set,"소관, 사업성격_계속, 예산총괄표_증감(백만원), 사업명 (df_base)",소관={'과학기술 정보통신부'} AND 사업성격_계속=TRUE AND 예산총괄표_증감(백만원)<0 -> unique 사업명 list up to 3,"증감<0, 계속=TRUE, 소관=과기정통부. 전체 목록 문항이므로 기존 3개 gold는 부분정답. / 평가 시 gold 3개만 보지 말고 acceptable_answers 전체 후보 중 임의 3개를 정답 인정. 최종본: 기존 HITL 검증 문항 유지.",new_continuing_project,신규 사업 편성 타당성·계속사업 구조조정 검토,2026년 예산이 전년 대비 감소했으면서 계속 사업이고 과학기술정보통신부 소관인 사업은 3개까지 나열하시오.,L1_strict,2026년에 예산이 전년보다 줄어들었고 계속 사업으로 과기정통부 소관인 사업을 최대 3개까지 알려주세요.,abbreviation|colloquial
STR019,Structured_HITL_20,CF05,ComplexFilter,내역사업이 두 개 이상인 새로 시작하는 사업 중에서 세 개를 골라주세요.,개인정보 안전활용 선도기술 개발(R&D) | AI AGENT 선도 국가 사업 | AI·SW중심대학,개인정보 안전활용 선도기술 개발(R&D) | AI AGENT 선도 국가 사업 | AI·SW중심대학,개인정보 안전활용 선도기술 개발(R&D) | AI AGENT 선도 국가 사업 | AI·SW중심대학,3,3,exact_set,"사업성격_신규, 내역사업_건수, 사업명 (df_base)",사업성격_신규=TRUE AND 내역사업_건수>=2 -> unique 사업명 list up to 3,질문이 “3개 나열”이므로 전체 후보 중 3개를 gold로 둠. 전체 후보는 detail sheet 참조. 최종본: 기존 HITL 검증 문항 유지.,new_continuing_project,신규 사업 편성 타당성·계속사업 구조조정 검토,내역사업이 2개 이상이면서 신규 사업인 것을 3개 나열하시오.,L1_strict,내역사업이 두 개 이상인 새로 시작하는 사업 중에서 세 개를 골라주세요.,colloquial
STR020,Structured_HITL_20,CF06,ComplexFilter,일반회계에 속하고 보조사업 형태로 2026년에 새로 시작하는 사업 중에서 예산이 가장 큰 사업은 무엇인가요?,국가농업AX플랫폼,국가농업AX플랫폼,국가농업AX플랫폼,1,1,exact_value,"회계_기금, 지원형태_보조, 사업성격_신규, 예산총괄표_2026열2(백만원), 사업명 (df_base)",회계_기금={'일반회계'} AND 지원형태_보조=TRUE AND 사업성격_신규=TRUE -> max 2026예산 사업명,"일반회계, 보조=TRUE, 신규=TRUE 후보 중 2026예산 최대. 최종본: 기존 HITL 검증 문항 유지.",support_type_filter,재정지원 방식별 적정성·보조사업 관리 대상 확인,일반회계이면서 보조 지원형태이고 2026년 신규 사업인 것 중 예산이 가장 큰 사업은?,L1_strict,일반회계에 속하고 보조사업 형태로 2026년에 새로 시작하는 사업 중에서 예산이 가장 큰 사업은 무엇인가요?,colloquial
STR021,Structured_Additional_Cleaned,MH09,MultiHop,정보통신기획평가원이 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,과학기술 정보통신부 | 과학기술정보통신부 | 과학기술정보 통신부,과학기술 정보통신부 | 과학기술정보통신부 | 과학기술정보 통신부,과학기술 정보통신부 | 과학기술정보통신부 | 과학기술정보 통신부 | 국방부 | 방송미디어 통신위원회,3,5,any_3_from_candidate_set,"사업시행주체_목록, 소관 (df_base)",사업시행주체_목록 contains {'정보통신기획평가원'} -> unique 소관 list up to 3,시행주체 정보통신기획평가원 포함 67개 사업의 고유 소관기관 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,정보통신기획평가원이 시행기관인 사업들의 소관기관 3개까지 나열하시오.,L1_strict,정보통신기획평가원이 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,colloquial
STR022,Structured_Additional_Cleaned,MH11,MultiHop,한국산업기술기획평가원이 시행하는 사업들의 소관 기관을 최대 3개까지 알려주세요.,기후에너지 환경부 | 산업통상부 | 소방청,기후에너지 환경부 | 산업통상부 | 소방청,기후에너지 환경부 | 산업통상부 | 소방청 | 행정안전부,3,4,any_3_from_candidate_set,"사업시행주체_목록, 소관 (df_base)",사업시행주체_목록 contains {'한국산업기술기획평가원'} -> unique 소관 list up to 3,시행주체 한국산업기술기획평가원 포함 31개 사업의 고유 소관기관 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,한국산업기술기획평가원이 시행기관인 사업들의 소관기관 3개까지 나열하시오.,L1_strict,한국산업기술기획평가원이 시행하는 사업들의 소관 기관을 최대 3개까지 알려주세요.,colloquial
STR023,Structured_Additional_Cleaned,MH12,MultiHop,NIA가 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,과학기술 정보통신부 | 과학기술정보 통신부 | 행정안전부,과학기술 정보통신부 | 과학기술정보 통신부 | 행정안전부,과학기술 정보통신부 | 과학기술정보 통신부 | 행정안전부,3,3,exact_set,"사업시행주체_목록, 소관 (df_base)",사업시행주체_목록 contains {'한국지능정보사회진흥원'} -> unique 소관 list up to 3,시행주체 한국지능정보사회진흥원 포함 23개 사업의 고유 소관기관 최종본: 클로드 생성 문항 중 중복·오류 정제 후 채택.,agency_ministry_relation,위탁·수행기관과 소관부처 간 역할 관계 확인,한국지능정보사회진흥원이 시행기관인 사업들의 소관기관 3개까지 나열하시오.,L1_strict,NIA가 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,abbreviation|colloquial
