id,type,question_original,question_perturbed,query_logic,question_noise_level,noise_type,orig_len,pert_len,len_ratio,semantic_flags,needs_review
CF04,ComplexFilter,2026년 예산이 전년 대비 감소했으면서 계속 사업이고 과학기술정보통신부 소관인 사업은 3개까지 나열하시오.,2026년에 예산이 전년보다 줄어들었고 계속 사업으로 과기정통부 소관인 사업을 최대 3개까지 알려주세요.,소관={'과학기술 정보통신부'} AND 사업성격_계속=TRUE AND 예산총괄표_증감(백만원)<0 -> unique 사업명 list up to 3,L1_strict,abbreviation|colloquial,60,58,0.9666666666666667,,False
CF05,ComplexFilter,내역사업이 2개 이상이면서 신규 사업인 것을 3개 나열하시오.,내역사업이 두 개 이상인 새로 시작하는 사업 중에서 세 개를 골라주세요.,사업성격_신규=TRUE AND 내역사업_건수>=2 -> unique 사업명 list up to 3,L1_strict,colloquial,34,40,1.1764705882352942,,False
CF06,ComplexFilter,일반회계이면서 보조 지원형태이고 2026년 신규 사업인 것 중 예산이 가장 큰 사업은?,일반회계에 속하고 보조사업 형태로 2026년에 새로 시작하는 사업 중에서 예산이 가장 큰 사업은 무엇인가요?,회계_기금={'일반회계'} AND 지원형태_보조=TRUE AND 사업성격_신규=TRUE -> max 2026예산 사업명,L1_strict,colloquial,48,60,1.25,,False
MH09,MultiHop,정보통신기획평가원이 시행기관인 사업들의 소관기관 3개까지 나열하시오.,정보통신기획평가원이 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,사업시행주체_목록 contains {'정보통신기획평가원'} -> unique 소관 list up to 3,L1_strict,colloquial,38,41,1.0789473684210527,,False
MH11,MultiHop,한국산업기술기획평가원이 시행기관인 사업들의 소관기관 3개까지 나열하시오.,한국산업기술기획평가원이 시행하는 사업들의 소관 기관을 최대 3개까지 알려주세요.,사업시행주체_목록 contains {'한국산업기술기획평가원'} -> unique 소관 list up to 3,L1_strict,colloquial,40,44,1.1,,False
MH12,MultiHop,한국지능정보사회진흥원이 시행기관인 사업들의 소관기관 3개까지 나열하시오.,NIA가 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,사업시행주체_목록 contains {'한국지능정보사회진흥원'} -> unique 소관 list up to 3,L1_strict,abbreviation|colloquial,40,35,0.875,,False
MH13,MultiHop,한국연구재단이 시행기관인 사업들의 소관기관 3개까지 나열하시오.,한국연구재단이 시행하는 사업들의 소관 기관을 최대 3개까지 알려주세요.,사업시행주체_목록 contains {'한국연구재단'} -> unique 소관 list up to 3,L1_strict,colloquial,35,39,1.1142857142857143,,False
MH14,MultiHop,한국보건산업진흥원이 시행기관인 사업들의 소관기관 3개까지 나열하시오.,한국보건산업진흥원이 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,사업시행주체_목록 contains {'한국보건산업진흥원'} -> unique 소관 list up to 3,L1_strict,colloquial,38,41,1.0789473684210527,,False
MH15,MultiHop,한국인터넷진흥원이 시행기관인 사업들의 소관기관 3개까지 나열하시오.,KISA가 시행하는 사업들의 소관 기관을 최대 3개까지 알려주세요.,사업시행주체_목록 contains {'한국인터넷진흥원'} -> unique 소관 list up to 3,L1_strict,abbreviation|colloquial,37,37,1.0,,False
MH17,MultiHop,한국산업기술진흥원이 시행기관인 사업들의 소관기관 3개까지 나열하시오.,한국산업기술진흥원이 시행하는 사업들의 소관기관을 최대 3개까지 알려주세요.,사업시행주체_목록 contains {'한국산업기술진흥원'} -> unique 소관 list up to 3,L1_strict,colloquial,38,41,1.0789473684210527,,False
MH18,MultiHop,정보통신기획평가원이 시행기관인 사업들이 속한 단위사업명을 3개 나열하시오.,정보통신기획평가원이 시행하는 사업들이 포함된 단위사업명 세 개를 알려줘.,사업시행주체_목록 contains {'정보통신기획평가원'} -> unique 단위사업명 list up to 3,L1_strict,surface_rewrite,41,40,0.975609756097561,,False
MH19,MultiHop,정보통신산업진흥원이 시행기관인 사업들이 속한 단위사업명을 3개 나열하시오.,정보통신산업진흥원이 시행하는 사업들이 포함된 단위사업명을 세 개만 알려줘.,사업시행주체_목록 contains {'정보통신산업진흥원'} -> unique 단위사업명 list up to 3,L1_strict,surface_rewrite,41,41,1.0,,False
MH20,MultiHop,한국산업기술기획평가원이 시행기관인 사업들이 속한 단위사업명을 3개 나열하시오.,한국산업기술기획평가원이 시행하는 사업들이 포함된 단위사업명을 세 개만 알려주세요.,사업시행주체_목록 contains {'한국산업기술기획평가원'} -> unique 단위사업명 list up to 3,L1_strict,colloquial,43,45,1.0465116279069768,,False
MH21,MultiHop,한국지능정보사회진흥원이 시행기관인 사업들이 속한 단위사업명을 3개 나열하시오.,NIA가 시행하는 사업들이 포함된 단위사업명 세 개만 알려줘.,사업시행주체_목록 contains {'한국지능정보사회진흥원'} -> unique 단위사업명 list up to 3,L2_realistic,abbreviation,43,34,0.7906976744186046,,False
MH22,MultiHop,정보통신기획평가원이 시행하는 사업의 분야명은?,IITP가 진행하는 사업들은 어떤 분야에 속해 있어?,사업시행주체_목록 contains {'정보통신기획평가원'} -> unique 분야명 list up to 3,L2_realistic,abbreviation|colloquial,25,29,1.16,,False
MH23,MultiHop,정보통신산업진흥원이 시행하는 사업의 분야명은?,NIPA가 진행하는 사업들은 어떤 분야에 속해?,사업시행주체_목록 contains {'정보통신산업진흥원'} -> unique 분야명 list up to 3,L2_realistic,abbreviation|colloquial,25,26,1.04,,False
MH24,MultiHop,한국산업기술기획평가원이 시행하는 사업의 분야명은?,한국산업기술기획평가원이 하는 사업들은 어떤 분야에 속해?,사업시행주체_목록 contains {'한국산업기술기획평가원'} -> unique 분야명 list up to 3,L2_realistic,colloquial,27,31,1.1481481481481481,,False
MH25,MultiHop,한국지능정보사회진흥원이 시행하는 사업의 분야명은?,NIA가 진행하는 사업들은 어떤 분야에 속해?,사업시행주체_목록 contains {'한국지능정보사회진흥원'} -> unique 분야명 list up to 3,L2_realistic,abbreviation|colloquial,27,25,0.9259259259259259,,False
MH26,MultiHop,한국연구재단이 시행기관인 사업명을 3개 나열하시오.,NRF가 시행하는 사업 이름 세 개만 알려줘.,사업시행주체_목록 contains {'한국연구재단'} -> unique 사업명 list up to 3,L2_realistic,abbreviation,28,25,0.8928571428571429,,False
MH27,MultiHop,한국보건산업진흥원이 시행기관인 사업명을 3개 나열하시오.,한국보건산업진흥원이 시행하는 사업 중 세 가지 이름을 알려줄래?,사업시행주체_목록 contains {'한국보건산업진흥원'} -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,31,35,1.1290322580645162,,False
MH28,MultiHop,한국인터넷진흥원이 시행기관인 사업명을 3개 나열하시오.,KISA가 시행하는 사업 이름 3개만 알려줄래?,사업시행주체_목록 contains {'한국인터넷진흥원'} -> unique 사업명 list up to 3,L2_realistic,abbreviation,30,26,0.8666666666666667,,False
MH30,MultiHop,한국산업기술진흥원이 시행기관인 사업명을 3개 나열하시오.,한국산업기술진흥원이 시행하는 사업 이름 3개만 알려줘.,사업시행주체_목록 contains {'한국산업기술진흥원'} -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,31,30,0.967741935483871,,False
MH32,MultiHop,한국환경산업기술원이 시행기관인 사업명을 3개 나열하시오.,한국환경산업기술원이 주관하는 사업 중에서 3개만 알려줄래?,사업시행주체_목록 contains {'한국환경산업기술원'} -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,31,32,1.032258064516129,,False
MH33,MultiHop,정보통신기획평가원이 시행기관인 사업들이 속한 부문명을 나열하시오.,정보통신기획평가원이 주관하는 사업들이 포함된 부문명을 알려줘.,사업시행주체_목록 contains {'정보통신기획평가원'} -> unique 부문명 list,L2_realistic,surface_rewrite,36,34,0.9444444444444444,,False
MH34,MultiHop,정보통신산업진흥원이 시행기관인 사업들이 속한 부문명을 나열하시오.,NIPA가 시행하는 사업들이 포함된 부문명을 알려줘.,사업시행주체_목록 contains {'정보통신산업진흥원'} -> unique 부문명 list,L2_realistic,abbreviation,36,29,0.8055555555555556,,False
RV07,Reverse,보건복지부 소관이면서 지원형태가 출연인 사업을 3개 나열하시오.,복지부에서 출연 형태로 지원하는 사업 중 3개만 알려줘.,소관={'보건복지부'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,L2_realistic,abbreviation,35,31,0.8857142857142857,,False
RV08,Reverse,해양수산부 소관이면서 지원형태가 출연인 사업을 3개 나열하시오.,해수부에서 출연 형태로 지원하는 사업 세 개만 알려줘.,소관={'해양수산부'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,L2_realistic,abbreviation,35,30,0.8571428571428571,,False
RV09,Reverse,과학기술 정보통신부 소관이면서 지원형태가 보조인 사업을 3개 나열하시오.,과기정통부에서 국고보조 형태로 지원하는 사업 3개만 알려줘.,소관={'과학기술 정보통신부'} AND 지원형태_보조=TRUE -> unique 사업명 list up to 3,L2_realistic,abbreviation,40,33,0.825,,False
RV10,Reverse,중소벤처기업부 소관이면서 지원형태가 출연인 사업을 3개 나열하시오.,중기부에서 출연 형태로 지원하는 사업 세 개만 알려줘.,소관={'중소벤처기업부'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,L2_realistic,abbreviation,37,30,0.8108108108108109,,False
RV11,Reverse,산림청 소관이면서 지원형태가 출연인 사업을 3개 나열하시오.,산림청에서 출연 형태로 지원하는 사업 3개만 알려줘.,소관={'산림청'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,33,29,0.8787878787878788,,False
RV12,Reverse,경찰청 소관이면서 지원형태가 출연인 사업을 3개 나열하시오.,경찰청에서 출연 형태로 지원하는 사업 중 3개만 알려줘.,소관={'경찰청'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,33,31,0.9393939393939394,,False
RV13,Reverse,문화체육관광부 소관이면서 지원형태가 출연인 사업을 3개 나열하시오.,문체부에서 출연 형태로 지원하는 사업 3개만 알려줄래?,소관={'문화체육관광부'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,L2_realistic,abbreviation,37,30,0.8108108108108109,,False
RV14,Reverse,농촌진흥청 소관이면서 지원형태가 직접인 사업을 3개 나열하시오.,농촌진흥청에서 직접 지원하는 사업 세 개만 알려줘.,소관={'농촌진흥청'} AND 지원형태_직접=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,35,28,0.8,,False
RV15,Reverse,교육부 소관이면서 지원형태가 출연인 사업을 3개 나열하시오.,교육부에서 출연 형태로 지원하는 사업 3개만 알려줘.,소관={'교육부'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,33,29,0.8787878787878788,,False
RV16,Reverse,농림축산식품부 소관이면서 지원형태가 출연인 사업을 3개 나열하시오.,농식품부에서 출연 형태로 지원하는 사업 세 개만 알려줘.,소관={'농림축산식품부'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,L2_realistic,abbreviation,37,31,0.8378378378378378,,False
RV17,Reverse,국가데이터처 소관이면서 지원형태가 직접인 사업을 3개 나열하시오.,국가데이터처에서 직접 지원하는 사업 중 3개만 알려줘.,소관={'국가데이터처'} AND 지원형태_직접=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,36,30,0.8333333333333334,,False
RV18,Reverse,고용노동부 소관이면서 지원형태가 직접인 사업을 3개 나열하시오.,고용부에서 직접 지원하는 사업 중 3개만 알려줘.,소관={'고용노동부'} AND 지원형태_직접=TRUE -> unique 사업명 list up to 3,L2_realistic,abbreviation,35,27,0.7714285714285715,,False
RV19,Reverse,신규 사업이면서 지원형태가 출자인 사업을 3개 나열하시오.,내년에 새로 하는 사업 중에서 출자 형태로 지원하는 사업 3개만 알려줘.,사업성격_신규=TRUE AND 지원형태_출자=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,32,40,1.25,,False
RV21,Reverse,신규 사업이면서 지원형태가 보조인 사업을 3개 나열하시오.,내년에 새로 시작하는 사업 중에서 보조사업으로 진행되는 것 3개만 알려줘.,사업성격_신규=TRUE AND 지원형태_보조=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,32,41,1.28125,,False
RV22,Reverse,분야가 통신이면서 신규 사업인 것을 3개 나열하시오.,통신 분야에서 내년에 새로 시작하는 사업 3개만 알려줘.,분야명={'통신'} AND 사업성격_신규=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,29,31,1.0689655172413792,,False
RV23,Reverse,분야가 과학기술이면서 신규 사업인 것을 3개 나열하시오.,과학기술 분야에서 내년에 새로 시작하는 사업 3개만 알려줘.,분야명={'과학기술'} AND 사업성격_신규=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,31,33,1.064516129032258,,False
RV24,Reverse,분야가 보건이면서 신규 사업인 것을 3개 나열하시오.,보건 분야에서 내년에 새로 시작하는 사업 3개만 알려줘.,분야명={'보건'} AND 사업성격_신규=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,29,31,1.0689655172413792,,False
RV25,Reverse,분야가 교통및물류이면서 신규 사업인 것을 3개 나열하시오.,교통 및 물류 분야에서 내년에 새로 하는 사업 3개만 알려줘.,분야명={'교통및물류'} AND 사업성격_신규=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,32,34,1.0625,,False
RV26,Reverse,분야가 보건이면서 지원형태가 출연인 사업을 3개 나열하시오.,보건 분야에서 출연 형태로 지원받는 사업 세 개만 알려줘.,분야명={'보건'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,33,32,0.9696969696969697,,False
RV27,Reverse,분야가 보건이면서 지원형태가 직접인 사업을 3개 나열하시오.,보건 분야에서 직접 지원하는 사업 세 개만 알려줘.,분야명={'보건'} AND 지원형태_직접=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,33,28,0.8484848484848485,,False
RV28,Reverse,분야가 농림수산이면서 지원형태가 출연인 사업을 3개 나열하시오.,농림수산 분야에서 출연 형태로 지원받는 사업 세 개만 알려줘.,분야명={'농림수산'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,35,34,0.9714285714285714,,False
RV29,Reverse,분야가 농림수산이면서 지원형태가 직접인 사업을 3개 나열하시오.,농림수산 분야에서 직접 지원하는 사업 3개만 알려줄래?,분야명={'농림수산'} AND 지원형태_직접=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,35,30,0.8571428571428571,,False
RV30,Reverse,분야가 공공질서및안전이면서 지원형태가 출연인 사업을 3개 나열하시오.,공공질서및안전 분야에서 출연 형태로 지원받는 사업 세 개만 알려줘.,분야명={'공공질서및안전'} AND 지원형태_출연=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,38,37,0.9736842105263158,,False
RV31,Reverse,분야가 공공질서및안전이면서 지원형태가 직접인 사업을 3개 나열하시오.,공공질서 및 안전 분야에서 직접 지원하는 사업 세 개만 알려줘.,분야명={'공공질서및안전'} AND 지원형태_직접=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,38,35,0.9210526315789473,,False
CF07,ComplexFilter,과학기술 정보통신부 소관이면서 지원형태가 출연이고 2026년 예산이 50000백만원 이상인 사업을 3개 나열하시오.,과기정통부 소관 사업 중에서 지원형태가 출연인 것 중 2026년 예산이 50000백만원 이상인 사업 3개만 알려줘.,소관={'과학기술 정보통신부'} AND 지원형태_출연=TRUE AND 예산총괄표_2026열2(백만원)>=50000 -> unique 사업명 list up to 3,L2_realistic,abbreviation,64,64,1.0,,False
CF08,ComplexFilter,산업통상부 소관이면서 지원형태가 출연이고 2026년 예산이 50000백만원 이상인 사업을 3개 나열하시오.,산업부 관할로 지원 방식이 출연인 2026년 예산이 5만 백만원 이상인 사업 3개를 알려줘.,소관={'산업통상부'} AND 지원형태_출연=TRUE AND 예산총괄표_2026열2(백만원)>=50000 -> unique 사업명 list up to 3,L2_realistic,abbreviation,59,51,0.864406779661017,,False
CF09,ComplexFilter,과학기술 정보통신부 소관이면서 지원형태가 출연이고 2026년 예산이 100000백만원 이상인 사업을 3개 나열하시오.,과기정통부 소관으로 지원형태가 출연인 사업 중 2026년 예산이 10만 백만원 이상인 사업 3개를 알려줘.,소관={'과학기술 정보통신부'} AND 지원형태_출연=TRUE AND 예산총괄표_2026열2(백만원)>=100000 -> unique 사업명 list up to 3,L2_realistic,abbreviation,65,59,0.9076923076923077,,False
CF10,ComplexFilter,산업통상부 소관이면서 지원형태가 출연이고 2026년 예산이 100000백만원 이상인 사업을 3개 나열하시오.,"산업부 소관으로 출연 형태의 지원을 받으며 2026년 예산이 100,000백만원 이상인 사업 세 개를 알려줘.",소관={'산업통상부'} AND 지원형태_출연=TRUE AND 예산총괄표_2026열2(백만원)>=100000 -> unique 사업명 list up to 3,L2_realistic,abbreviation,60,61,1.0166666666666666,,False
CF11,ComplexFilter,과학기술 정보통신부 소관이면서 지원형태가 출연이고 2026년 예산이 200000백만원 이상인 사업을 3개 나열하시오.,과기정통부 소관 사업 중에서 지원형태가 출연이고 2026년 예산이 2000억 이상인 사업 3개만 알려줘.,소관={'과학기술 정보통신부'} AND 지원형태_출연=TRUE AND 예산총괄표_2026열2(백만원)>=200000 -> unique 사업명 list up to 3,L2_realistic,abbreviation,65,58,0.8923076923076924,,False
CF12,ComplexFilter,산업통상부 소관이면서 지원형태가 출연이고 2026년 예산이 200000백만원 이상인 사업을 3개 나열하시오.,"산업부 소관으로 출연 형태의 지원을 받으며 2026년 예산이 200,000백만원 이상인 사업 3개를 알려줘.",소관={'산업통상부'} AND 지원형태_출연=TRUE AND 예산총괄표_2026열2(백만원)>=200000 -> unique 사업명 list up to 3,L2_realistic,abbreviation,60,60,1.0,,False
CF13,ComplexFilter,일반회계이면서 지원형태가 보조이고 신규 사업인 것을 3개 나열하시오.,일반회계로 진행되는 보조사업 중 내년에 새로 시작하는 사업 3개만 알려줘.,지원형태_보조=TRUE AND 회계_기금={'일반회계'} AND 사업성격_신규=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,38,41,1.0789473684210527,,False
CF14,ComplexFilter,일반회계이면서 지원형태가 직접이고 신규 사업인 것을 3개 나열하시오.,일반회계에 속하고 직접 지원 형태로 내년에 새로 시작하는 사업 3개만 알려줘.,지원형태_직접=TRUE AND 회계_기금={'일반회계'} AND 사업성격_신규=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,38,43,1.131578947368421,,False
CF15,ComplexFilter,분야가 보건이면서 지원형태가 출연이고 계속 사업인 것을 3개 나열하시오.,보건 분야에서 출연 형태로 지원받고 계속 사업인 것 중 3개만 알려줘.,분야명={'보건'} AND 지원형태_출연=TRUE AND 사업성격_계속=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,40,39,0.975,,False
CF16,ComplexFilter,분야가 농림수산이면서 지원형태가 출연이고 계속 사업인 것을 3개 나열하시오.,농림수산 분야에서 출연 형태로 계속 진행되는 사업 3개만 알려줘.,분야명={'농림수산'} AND 지원형태_출연=TRUE AND 사업성격_계속=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,42,36,0.8571428571428571,,False
CF17,ComplexFilter,분야가 교통및물류이면서 지원형태가 출연이고 계속 사업인 것을 3개 나열하시오.,교통 및 물류 분야에서 출연 형태로 계속 진행되는 사업 3개만 알려줘.,분야명={'교통및물류'} AND 지원형태_출연=TRUE AND 사업성격_계속=TRUE -> unique 사업명 list up to 3,L2_realistic,surface_rewrite,43,39,0.9069767441860465,,False
CF18,ComplexFilter,과학기술 정보통신부 소관이면서 2026년 예산이 전년대비 감소하고 계속 사업인 것을 3개 나열하시오.,과기정통부 소관으로 2026년 예산이 전년보다 줄어든 계속 사업 3개를 알려줘.,소관={'과학기술 정보통신부'} AND 사업성격_계속=TRUE AND 예산총괄표_증감(백만원)<0 -> unique 사업명 list up to 3,L2_realistic,abbreviation,56,44,0.7857142857142857,,False
CF19,ComplexFilter,산업통상부 소관이면서 2026년 예산이 전년대비 감소하고 계속 사업인 것을 3개 나열하시오.,산업부 소관으로 2026년 예산이 작년보다 줄어들고 계속 진행 중인 사업 3개만 알려줘.,소관={'산업통상부'} AND 사업성격_계속=TRUE AND 예산총괄표_증감(백만원)<0 -> unique 사업명 list up to 3,L2_realistic,abbreviation,51,49,0.9607843137254902,,False
CF20,ComplexFilter,국토교통부 소관이면서 2026년 예산이 전년대비 감소하고 계속 사업인 것을 3개 나열하시오.,국토부 소관으로 2026년에 예산이 전년보다 줄어들고 계속 진행 중인 사업 3개를 알려줘.,소관={'국토교통부'} AND 사업성격_계속=TRUE AND 예산총괄표_증감(백만원)<0 -> unique 사업명 list up to 3,L2_realistic,abbreviation,51,50,0.9803921568627451,,False
CF21,ComplexFilter,문화체육 관광부 소관이면서 2026년 예산이 전년대비 감소하고 계속 사업인 것을 3개 나열하시오.,2026년에 예산이 줄어든 문체부의 계속 사업 중 3개를 알려줘.,소관={'문화체육관광부'} AND 사업성격_계속=TRUE AND 예산총괄표_증감(백만원)<0 -> unique 사업명 list up to 3,L3_perturbed,abbreviation|ellipsis,54,36,0.6666666666666666,,False
CF22,ComplexFilter,분야가 통신이면서 신규 사업이고 2026년 예산이 10000백만원 이상인 사업을 3개 나열하시오.,통신 분야에서 내년에 새로 시작하는 사업 중 2026년 예산이 100억 이상인 사업 3개를 알려줘.,분야명={'통신'} AND 사업성격_신규=TRUE AND 예산총괄표_2026열2(백만원)>=10000 -> unique 사업명 list up to 3,L3_perturbed,surface_rewrite,54,55,1.0185185185185186,,False
CF23,ComplexFilter,분야가 과학기술이면서 신규 사업이고 2026년 예산이 10000백만원 이상인 사업을 3개 나열하시오.,과학기술 분야에서 내년에 새로 시작하는 사업 중 2026년 예산이 100억 원 이상인 것 3개를 알려줘.,분야명={'과학기술'} AND 사업성격_신규=TRUE AND 예산총괄표_2026열2(백만원)>=10000 -> unique 사업명 list up to 3,L3_perturbed,surface_rewrite,56,58,1.0357142857142858,,False
