id,type,question,method,pred,precision,recall,f1,matched_items,text_to_pandas_plan,text_to_pandas_status
SQA069,Aggregation,한국산업기술 기획평가원이 주관하는 사업의 개수는?,Text-to-Pandas Agent,0,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""한국산업기술 기획평가원""}], ""group_by"": null, ""aggregation"": ""count"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""문서_소관기관""]}",ok
SQA070,Aggregation,한국보건산업진흥원이 시행하는 사업의 개수는?,Text-to-Pandas Agent,23,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""사업시행주체_목록"", ""operator"": ""contains"", ""value"": ""한국보건산업진흥원""}], ""group_by"": null, ""aggregation"": ""count"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""사업명""]}",ok
SQA071,Aggregation,과기정통부에서 출연 형태로 진행하는 사업들의 2026년 총 예산은 얼마인가요?,Text-to-Pandas Agent,6314680.78,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""과기정통부""}, {""column"": ""지원형태_출연"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": ""sum"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""사업규모_2026(백만원)""]}",ok
SQA072,Aggregation,과기정통부에서 보조사업으로 진행하는 2026년 예산의 총액은?,Text-to-Pandas Agent,275286,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""과기정통부""}, {""column"": ""지원형태_보조"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": ""sum"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""예산총괄표_2026열1(백만원)"", ""예산총괄표_2026열2(백만원)""]}",ok
SQA074,Aggregation,산업부에서 출연 형태로 진행하는 사업들의 2026년 총 예산은 얼마인가요?,Text-to-Pandas Agent,0,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""=="", ""value"": ""산업부""}, {""column"": ""지원형태_출연"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": ""sum"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""사업규모_2026(백만원)""]}",ok
SQA075,Aggregation,과기정통부에서 내년에 새로 시작하는 사업 중 2026년 예산 총액이 가장 큰 사업은?,Text-to-Pandas Agent,AI·SW중심대학 117960.0,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""과기정통부""}, {""column"": ""사업성격_신규"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": {""column"": ""예산총괄표_2026열1(백만원)"", ""ascending"": false}, ""limit"": 1, ""return_columns"": [""상단표_사업명"", ""예산총괄표_2026열1(백만원)""]}",ok
SQA076,Aggregation,과기정통부에서 2026년에 예산이 가장 많이 배정된 계속 사업은 무엇인가요?,Text-to-Pandas Agent,nan,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""과기정통부""}, {""column"": ""사업성격_계속"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": ""max"", ""sort_by"": {""column"": ""예산총괄표_2026열1(백만원)"", ""ascending"": false}, ""limit"": 1, ""return_columns"": [""사업명""]}",ok
SQA077,Aggregation,산업부에서 내년에 새로 시작하는 사업 중 2026년 예산 총액이 가장 큰 사업은?,Text-to-Pandas Agent,알 수 없음,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""=="", ""value"": ""산업부""}, {""column"": ""사업성격_신규"", ""operator"": ""=="", ""value"": true}], ""group_by"": null, ""aggregation"": null, ""sort_by"": {""column"": ""예산총괄표_2026열1(백만원)"", ""ascending"": false}, ""limit"": 1, ""return_columns"": [""상단표_사업명"", ""예산총괄표_2026열1(백만원)""]}",ok
SQA078,Aggregation,과기정통부에서 2026년에 예산이 줄어든 사업은 몇 개야?,Text-to-Pandas Agent,39,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""과기정통부""}, {""column"": ""예산총괄표_증감(백만원)"", ""operator"": ""<"", ""value"": 0}], ""group_by"": null, ""aggregation"": ""count"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""사업명""]}",ok
SQA079,Aggregation,산업부에서 내년에 예산이 줄어드는 사업은 몇 개야?,Text-to-Pandas Agent,0,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""실국(기관)"", ""operator"": ""=="", ""value"": ""산업부""}, {""column"": ""예산총괄표_증감(백만원)"", ""operator"": ""<"", ""value"": 0}], ""group_by"": null, ""aggregation"": ""count"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""사업명""]}",ok
AGG015,Aggregation,국토부에서 2026년에 예산이 줄어든 사업은 몇 개야?,Text-to-Pandas Agent,7,0.0,0.0,0.0,,"{""filter_conditions"": [{""column"": ""문서_소관기관"", ""operator"": ""=="", ""value"": ""국토부""}, {""column"": ""예산총괄표_증감(백만원)"", ""operator"": ""<"", ""value"": 0}], ""group_by"": null, ""aggregation"": ""count"", ""sort_by"": null, ""limit"": null, ""return_columns"": [""문서_사업명""]}",ok
